"id","PY","TI","AB","AU","CT","url","KW"
"05ab495577904b9abef3ad1807cced90",2008,"OpenBook WordPress Plugin: Open Source Access to Bibliographic Data","OpenBook is a WordPress PHP plugin that implements the Open Library APIs to insert book covers, titles, authors and publishers into web pages. The motive behind the development was to provide an easy alternative to the common practice of linking to Amazon. Open Library was selected as a data source because it is both open source and open data.The plugin is useful for book reviewers, library webmasters, anyone who wants to put book covers and data on their WordPress blog or website. The plugin also allows users to add links to publisher websites, a feature that was considered significant to independent publishers.","Miedema,John","Code4Lib","http://journal.code4lib.org/articles/105","book review resources;WordPress;WordPress plugins;API"
"05cd8486982e405bb507988143efed1a",2014,"Archiving the Web: A Case Study from the University of Victoria","The University of Victoria Libraries started archiving websites in 2013, and it quickly became apparent that many scholarly websites being produced by faculty, especially in the digital humanities, were going to prove very challenging to effectively capture and play back. This article will provide an overview of web archiving and explore the considerable legal and technical challenges of implementing a web archiving initiative at a research library, using the University of Victoria's implementation of Archive-it, a web archiving service from the Internet Archive, as a case study, with a special focus on capturing complex, interactive websites that scholars are creating to disseminate their research in new ways.","Davis,Corey","Code4Lib","http://journal.code4lib.org/articles/10015","digital humanities;Archive-it;web archiving;Victoria"
"064d368e3a194eed9238e3231025e7c6",2018,"The Automagic of the LII’s eCFR","The Legal Information Institute (LII) began providing access to federal legal materials in 1992.This article discusses their work expanding and improving free public access to federal legal resources in the U.S., particularly developingtheir eCFR product for the Code of Federal Regulations, and plans to integrate DocketWrench.","Schneider,Charlotte;Kwakye,Sylvia","Code4Lib","http://journal.code4lib.org/articles/13241","legal;eCFR;DocketWrench"
"0674dd8a826745c4b9ad0c9e7039abee",2019,"MatchMarc: A Google Sheets Add-on that uses the WorldCat Search API","Lehigh University Libraries has developed a new tool for querying WorldCat using the WorldCat Search API.  The tool is a Google Sheet Add-on and is available now via the Google Sheets Add-ons menu under the name “MatchMarc.” The add-on is easily customizable, with no knowledge of coding needed. The tool will return a single “best” OCLC record number, and its bibliographic information for a given ISBN or LCCN, allowing the user to set up and define “best.” Because all of the information, the input, the criteria, and the results exist in the Google Sheets environment, efficient workflows can be developed from this flexible starting point. This article will discuss the development of the add-on, how it works, and future plans for development.","Suranofsky,Michelle;McColl,Lisa","Code4Lib","https://journal.code4lib.org/articles/14813","API;Lehigh;WorldCat;Google Sheets;MatchMarc;ISBN;LCCN;add-on"
"06aefb86d20f4a5ca4ba3f0c03d53b9d",2011,"Editorial Introduction: Prioritizing the Future, Collaborating in the Present, and Archiving the Past","This is an exciting time for libraries and technology, and libraries have the opportunity now to build strong collaborations that both preserves our rich history and prioritizes our future. This issue shines a light on a unique blending of priorities old and new, detailed analysis of our past, and creative solutions that enhance the mission of libraries. Libraries big and small have the chance to impact our communities for the better. Come along, it's going to be a great ride.","M. McGeary,Timothy","Code4Lib","http://journal.code4lib.org/articles/5732","editorial;priorities;libraries"
"089c052c6fab48ae8b5003f45af4c1be",2019,"Developing Weeding Protocols for Born Digital Collections","As collections continue to be digitized and even be born digital, the way we handle collection development needs to also shift towards a digital mindset. Digital collections development are not so much concerned about shelf or storage space, as expansion can be as simple as procuring a new hard drive. Digital collections, when not archival, need to focus on issues of access and accessibility. For a born digital library, quality and usefulness must be the primary factors in the collection development policy.This article will walk through the steps taken by one digital library (PBSLearningMedia.org) to assess their collections with an eye to quality and user experience as well as a multi-phase deaccessioning project that occurred and is ongoing. The process, including the multi-iteration drafting of subject specific rubrics, targeted to the needs of the site’s core audience. It also included the quantitative assessment of thousands of items in the collection and the distribution of qualitative and quantitative data to stakeholders across the country. Special attention to the setting of minimal required standards and the communication of those standards was paid. Finally, as this process is now an ongoing review schema for LearningMedia, the article will discuss the issues faced in this project, recommendations for other organizations attempting their own digital weeding/deaccessioning projects, and the plans for the future of the project.","Livanos-Propst,Athina","Code4Lib","https://journal.code4lib.org/articles/14162","PBSLearningMedia;assessment;LearningMedia;digitl weeding;deaccessioning"
"08f6693254f4404ab694a3508b92c728",2015,"Using Google Tag Manager and Google Analytics to track DSpace metadata fields as custom dimensions","DSpace can be problematic for those interested in tracking download and pageview statistics granularly. Some libraries have implemented code to track events on websites and some have experimented with using Google Tag Manager to automate event tagging in DSpace. While these approaches make it possible to track download statistics, granular details such as authors, content types, titles, advisors, and other fields for which metadata exist are generally not tracked in DSpace or Google Analytics without coding. Moreover, it can be time consuming to track and assess pageview data and relate that data back to particular metadata fields. This article will detail the learning process of incorporating custom dimensions for tracking these detailed fields including trial and error attempts to use the data import function manually in Google Analytics, to automate the data import using Google APIs, and finally to automate the collection of dimension data in Google Tag Manager by mimicking SEO practices for capturing meta tags. This specific case study refers to using Google Tag Manager and Google Analytics with DSpace; however, this method may also be applied to other types of websites or systems.","Conrad,Suzanna","Code4Lib","http://journal.code4lib.org/articles/10311","API;Dspace;event tagging;Google Tag Manager;Google Analytics;Google APIs"
"0905f30dacb84b2bb53bd8cc1e942aec",2021,"Managing an institutional repository workflow with GitLab and a folder-based deposit system","Institutional Repositories (IR) exist in a variety of configurations and in various states of development across the country. Each organization with an IR has a workflow that can range from explicitly documented and codified sets of software and human workflows, to ad hoc assortments of methods for working with faculty to acquire, process and load items into a repository. The University of North Texas (UNT) Libraries has managed an IR called UNT Scholarly Works for the past decade but has until recently relied on ad hoc workflows. Over the past six months, we have worked to improve our processes in a way that is extensible and flexible while also providing a clear workflow for our staff to process submitted and harvested content. Our approach makes use of GitLab and its associated tools to track and communicate priorities for a multi-user team processing resources. We paired this Web-based management with a folder-based system for moving the deposited resources through a sequential set of processes that are necessary to describe, upload, and preserve the resource. This strategy can be used in a number of different applications and can serve as a set of building blocks that can be configured in different ways. This article will discuss which components of GitLab are used together as tools for tracking deposits from faculty as they move through different steps in the workflow. Likewise, the folder-based workflow queue will be presented and described as implemented at UNT, and examples for how we have used it in different situations will be presented.","R. Johnson-Freeman,Whitney;E. Phillips,Mark;K. Phillips,Kristy","Code4Lib","https://journal.code4lib.org/articles/15650","institutional repositories;North Texas;UNT;GitLab;tracking deposits"
"09a71d6a4c484806b5a3b9ce44063a04",2012,"From the Catalog to the Book on the Shelf: Building a Mapping Application for Vufind","At Yale University Library (YUL), recorded reference transactions revealed that after finding a book in the catalog patrons had difficulty knowing how to use the call number to find the book on the shelf. The Library created a mobile service to help locate the call number in the library stacks. From any call number of a book in Sterling Memorial Library at YUL, a map will be displayed which highlights that call number’s general area on a floor in the stacks. YUL introduced the mapping application in Yufind, a catalog in place at Yale since 2008 which is based on Vufind.","Bauer,Kathleen;Friscia,Michael;Matheson,Scott","Code4Lib","http://journal.code4lib.org/articles/6924","Yale;call numbers;YUL;Yufind;Vufind"
"0a44a01231814af28ec956de0be47289",2020,"Trust, But Verify: Auditing Vendor-Supplied Accessibility Claims","Despite a long-overdue push to improve the accessibility of our libraries’ online presences, much of what we offer to our patrons comes from third party vendors: discovery layers, OPACs, subscription databases, and so on. We can’t directly affect the accessibility of the content on these platforms, but rely on vendors to design and test their systems and report on their accessibility through Voluntary Product Accessibility Templates (VPATS). But VPATs are self-reported. What if we want to verify our vendors’ claims? We can’t thoroughly test the accessibility of hundreds of vendor systems, can we? In this paper, we propose a simple methodology for spot-checking VPATs. Since most websites struggle with the same accessibility issues, spot checking particular success criteria in a library vendor VPAT can tip us off to whether the VPAT as a whole can be trusted. Our methodology combines automated and manual checking, and can be done without any expensive software or complex training. What’s more, we are creating a repository to share VPAT audit results with others, so that we needn’t all audit the VPATs of all our systems.","Reidsma,Matthew;Zavala,Melina","Code4Lib","https://journal.code4lib.org/articles/15122","OPAC;VPATs;accessibility;subscription databases"
"0ae9ce2a52164f47824619d94d2fc4b3",2013,"Out From Behind the Firewall: Towards Better Library IT Communications","Traditionally, IT departments lack a strong focus on communications and promotions. Numerous exciting projects and services are created by library IT departments and web development teams daily, but resources for promotion are typically unavailable or deemed low priority. This article examines IT-specific communications within the library context, offers a model of user-focused communications useful to libraries of any size, and discusses University of Toronto Libraries' Information Technology Services department’s efforts to increase library technology communications.","Gayhart,Lisa","Code4Lib","http://journal.code4lib.org/articles/8741","IT departments;communication;Toronto;"
"0b2b66814250468e981b08d8c6f90cbc",2012,"Editorial Introduction","The winter months bring us festivities like Mardi Gras. Here at the Code4Lib Journal, we present you with a veritable feast to indulge in as our mid-winter festival offering. Consume slowly, to fully appreciate the myriad flavors and enjoy the richness of the fare.","Bean,Carol","Code4Lib","http://journal.code4lib.org/articles/6616","Mardi Grass;editorial"
"0b367d774f174efa89c554b1f04826ef",2017,"The FachRef-Assistant: Personalised, subject specific, and transparent stock management","We present in this paper a personalized web application for the weeding of printed resources: the FachRef-Assistant. It offers an extensive range of tools for evidence based stock management, based on the thorough analysis of usage statistics. Special attention is paid to the criteria individualization, transparency of the parameters used, and generic functions. Currently, it is designed to work with the Aleph-System from ExLibris, but efforts were spent to keep the application as generic as possible. For example, all procedures specific to the local library system have been collected in one Java package. The inclusion of library specific properties such as collections and systematics has been designed to be highly generic as well by mapping the individual entries onto an in-memory database. Hence simple adaption of the package and the mappings would render the FachRef-Assistant compatible to other library systems. The personalization of the application allows for the inclusion of subject specific usage properties as well as of variations between different collections within one subject area. The parameter sets used to analyse the stock and to prepare weeding and purchase proposal lists are included in the output XML-files to facilitate a high degree of transparency, objectivity and reproducibility.","T. Spielberg,Eike;Lützenkirchen,Frank","Code4Lib","http://journal.code4lib.org/articles/12660","FachRef-Assistant;weeding;Aleph;ExLibris;Java;XML;usage properties;purchase proposal lists"
"0bc3d028b89e4eb2b3152d2b34d3682c",2010,"Metadata In, Library Out. A Simple, Robust Digital Library System","Tired of being held hostage to expensive systems that did not meet our needs, the University of Alabama Libraries developed an XML schema-agnostic, light-weight digital library delivery system based on the principles of ""Keep It Simple, Stupid!"" Metadata and derivatives reside in openly accessible web directories, which support the development of web agents and new usability software, as well as modification and complete retrieval at any time. The file name structure is echoed in the file system structure, enabling the delivery software to make inferences about relationships, sequencing, and complex object structure without having to encapsulate files in complex metadata schemas. The web delivery system, Acumen, is built of PHP, JSON, JavaScript and HTML5, using MySQL to support fielded searching. Recognizing that spreadsheets are more user-friendly than XML, an accompanying widget, Archivists Utility, transforms spreadsheets into MODS based on rules selected by the user. Acumen, Archivists Utility, and all supporting software scripts will be made available as open source.","Loewald,Tonio;DeRidder,Jody","Code4Lib","http://journal.code4lib.org/articles/3107","Alabama;XML;metadata;Acumen;system"
"0c56d0b114544a6ebcded51418f9c60e",2018,"Improving Enterprise Content Findability through Strategic Intervention","This paper highlights work that information specialists within the Jet Propulsion Laboratory have done to strategically intervene in the creation and maintenance of JPL’s intranet. Three key interventions are discussed which best highlight how work in enterprise ""knowledge curation” fits into emergent knowledge management roles for institutional librarians (Lustigman, 2015). These three interventions are: 1) guided document creation, which includes the development of wiki portals and standard editing processes for consistent knowledge capture, 2) search curation, which includes manual and organic enterprise search relevancy improvements, and 3) index as intervention, which describes how metadata mapping and information modeling are used to improve access to content for both local and enterprise-wide applications.","Townsend,Rebecca;Mathieu,Camille","Code4Lib","https://journal.code4lib.org/articles/13877","Jet Propulsion Laboratory;JPL;knowledge curation;document creation;seach curation;indexing;metadata mapping"
"0c668438777c4b259da98e3adc928e7a",2010,"CONFERENCE REPORT: Code4Lib 2010","Conference reports from the 5th Code4Lib Conference, held in Asheville, NC, from February 22 to 25, 2010. The Code4Lib conference is a collective volunteer effort of the Code4Lib community of library technologists. Included are three brief reports on the conference from the recipients of conference scholarships.","Ho,Birong;Lakshminarayanan,Banurekha;Meireles,Vanessa","Code4Lib","http://journal.code4lib.org/articles/2717","c4l10;code4lib;report"
"0ce5853f2f2c47f198f534db6fc9d160",2013,"For Video Streaming/Delivery: Is HTML5 the Real Fix?","The general movement towards streaming or playing videos on the web has grown exponentially in the last decade. The combination of new streaming technologies and faster Internet connections continue to provide enhanced and robust user experience for video content. For many organizations, adding videos on their websites has transitioned from a “cool” feature to a mission critical service. Some of the benefits in putting videos online include: to engage and convert visitors, to raise awareness or drive interest, to share inspirational stories or recent unique events, etc. Along with the growth in the use and need for video content on the web; delivering videos online also remains a messy activity for developers and web teams. Examples of existing challenges include creating more accessible videos with captions and delivering content (using adaptive streaming) for the diverse range of mobile and tablet devices. In this article, we report on the decision-making and early results in using the Kaltura video platform in two popular library platforms: CONTENTdm and DSpace.","Millard,John;Tzoc,Elías","Code4Lib","http://journal.code4lib.org/articles/9059","CONTENTdm;Dspace;streaming;video;Kaltura"
"0d09619f1e144d49bfbf6f9edc5f36eb",2015,"Exploring Information Security and Shared Encrypted Spaces in Libraries","Libraries are sensitive to the need to protect patron data, but may not take measures to protect the data of the library.However, in an increasingly collaborative online environment, the protection of data is a concern that merits attention.As a follow-up to a new patron privacy policy, the Oakland University William Beaumont Medical Library evaluated information security tools for use in day-to-day operations in an attempt to identify ways to protect private information in communication and shared storage, as well as a means to manage passwords in a collaborative team environment.This article provides an overview of encryption measures, outlines the Medical Library’s evaluation of encryption tools, and reflects on the benefits and challenges in their adoption and use.","Engwall,Keith","Code4Lib","http://journal.code4lib.org/articles/10685","patron data;oakland;medical;privacy;encryption"
"0f1d3d35784f4621958a4cd08b0dfa7d",2009,"Semi-automatic Citation Correction with Lemon8-XML","The Lemon8-XML software application, developed by the Public Knowledge Project (PKP), provides an open-source, computer-assisted interface for reliable citation structuring and validation. Lemon8-XML combines citation parsing algorithms with freely-available online indexes such as PubMed, WorldCat, and OAIster. Fully-automated markup of entire bibliographies may be a genuine possibility using this approach. Automated markup of citations would increase bibliographic accuracy while reducing copyediting demands.","Suhonos,MJ","Code4Lib","http://journal.code4lib.org/articles/1011","Lemon8-XML;PKP;indexes;automated markup;bibliographies;citations;accuracy"
"0f1fb3e89586495b86f1aed49614c827",2016,"An Open-Source Strategy for Documenting Events: The Case Study of the 42nd Canadian Federal Election on Twitter","This article examines the tools, approaches, collaboration, and findings of the Web Archives for Historical Research Group around the capture and analysis of about 4 million tweets during the 2015 Canadian Federal Election. We hope that national libraries and other heritage institutions will find our model useful as they consider how to capture, preserve, and analyze ongoing events using Twitter. While Twitter is not a representative sample of broader society - Pew research shows in their study of US users that it skews young, college-educated, and affluent (above $50,000 household income) – Twitter still represents an exponential increase in the amount of information generated, retained, and preserved from 'everyday' people. Therefore, when historians study the 2015 federal election, Twitter will be a prime source.On August 3, 2015, the team initiated both a Search API and Stream API collection with twarc, a tool developed by Ed Summers, using the hashtag #elxn42. The hashtag referred to the election being Canada's 42nd general federal election (hence 'election 42' or elxn42). Data collection ceased on November 5, 2015, the day after Justin Trudeau was sworn in as the 42nd Prime Minister of Canada. We collected for a total of 102 days, 13 hours and 50 minutes. To analyze the data set, we took advantage of a number of command line tools, utilities that are available within twarc, twarc-report, and jq. In accordance with the Twitter Developer Agreement & Policy, and after ethical deliberations discussed below, we made the tweet IDs and other derivative data available in a data repository. This allows other people to use our dataset, cite our dataset, and enhance their own research projects by drawing on #elxn42 tweets. Our analytics included: breaking tweet text down by day to track change over time; client analysis, allowing us to see how the scale of mobile devices affected medium interactions; URL analysis, comparing both to Archive-It collections and the Wayback Availability API to add to our understanding of crawl completeness; and image analysis, using an archive of extracted images. Our article introduces our collecting work, ethical considerations, the analysis we have done, and provides a framework for other collecting institutions to do similar work with our off-the-shelf open-source tools. We conclude by ruminating about connecting Twitter archiving with a broader web archiving strategy.","Ruest,Nick;Milligan,Ian","Code4Lib","http://journal.code4lib.org/articles/11358","API;Canada;Canadian Federal Election;Twitter;Search API;data;jq;URL analysis;Wayback Machine;web archiving"
"0f3cc265c0614b80a29a087e2e78a1ca",2008,"Editorial Introduction - Issue 3","Code4Lib Journal seeks to share ideas for solving issues and, hopefully, inspire new ideas.","Peterson,Ron","Code4Lib","http://journal.code4lib.org/articles/104","editorial"
"0f540a880f614cbaa654f7f1ed75450a",2013,"SPRUCE Mashup London","SPRUCE digital preservation mashups are a series of unique events that are being organized in the United Kingdom to bring together digital preservation practitioners and developers to work on real-world digital preservation challenges. During the 3-day event the digital preservation developers work to create practical solutions to real-world challenges the practitioners are having related to digital preservation. Meanwhile, the practitioners work to create compelling business cases for digital preservation at their institution. This article describes the SPRUCE Mashup London event held in September 2012.","M. Corrado,Edward","Code4Lib","http://journal.code4lib.org/articles/8004","SPRUCE;digital preservation;UK;mashup"
"1028ed45c50f4e9dbde5e6f563ff611b",2013,"Relevance and Phrase Searching in Summon: looking under the hood","This article briefly examines the mechanisms behind seemingly counter-intuitive phrase search results in Serials Solutions’ discovery platform Summon. The authors use the platform’s search API to explain why users sometimes encounter greater numbers of results when typically they would expect fewer. The article explores the reasons behind the search results and the implications for library instruction.","Hodge,Thomas;RW MacDonald,James","Code4Lib","http://journal.code4lib.org/articles/8352","API;phrase search;Summon;rearch results;library instruction"
"11781438ccf34f2488ef468f33b79848",2015,"Using SemanticScuttle for managing lists of recommended resources on a library website","Concordia University Libraries has adopted SemanticScuttle, an open source and locally-hosted PHP/MySQL application for social bookmarking, as an alternative to Delicious for managing lists of recommended resources on the library’s website. Two implementations for displaying feed content from SemanticScuttle were developed: (1) using the Google Feed API and (2) using direct SQL access to SemanticScuttle’s database.","Neugebauer,Tomasz;Carson,Pamela;Krujelskis,Stephen","Code4Lib","http://journal.code4lib.org/articles/10269","Concordia;SemanticScuttle;Delicious;Google Feed API;API"
"12fc310101524fb0b565f22729d5dd8b",2015,"Code as Code: Speculations on Diversity, Inequity, and Digital Women","All technologies are social. Taking this socio-technological position becomes less a political stance as a necessity when considering the lived experience of digital inequity, divides, and –isms as they are encountered in every-day library work spheres. Personal experience as women and women of color in our respective technological and leadership communities provides both fore- and background to explore the private-public lines delineating definitions of “diversity”, “inequity”, and digital literacies in library practice.We suggest that by not probing these definitions at the most personal level of lived experience, we in the LIS and technology professions will remain well-intentioned, but ineffective, in genuine inclusion.","L. Comstock,Sharon;Copeny,Jerica;Landrum,Cynthia","Code4Lib","http://journal.code4lib.org/articles/10470","technology professions;inclusion"
"13788cdc76624522a674cafccf84a77d",2014,"Mdmap: A Tool for Metadata Collection and Matching","This paper describes a front-end for the semi-automatic collection, matching, and generation of bibliographic metadata obtained from different sources for use within a digitization architecture. The Library of a Billion Words project is building an infrastructure for digitizing text that requires high-quality bibliographic metadata, but currently only sparse metadata from digitized editions is available. The project’s approach is to collect metadata for each digitized item from as many sources as possible. An expert user can then use an intuitive front-end tool to choose matching metadata. The collected metadata are centrally displayed in an interactive grid view. The user can choose which metadata they want to assign to a certain edition, and export these data as MARCXML. This paper presents a new approach to bibliographic work and metadata correction. We try to achieve a high quality of the metadata by generating a large amount of metadata to choose from, as well as by giving librarians an intuitive tool to manage their data.","Simke,Rico","Code4Lib","http://journal.code4lib.org/articles/10055","semi-automatic collection;bibliographic metadata;digitization:Library of a Billion Words;project;MARCXMLmetadata correction;metadata;quality"
"13aebab207824c21acb8335aa8bd09d2",2011,"Best Practices for a University Laptop Lending Program","The University of Arizona Libraries currently circulates over three hundred pieces of equipment including laptops, netbooks, projectors and iPads. This article describes the best practices and workflows we have developed since 2003 to create alaptop/equipment lending program that is efficient and mindful of financial resources and that our student body loves and continues to support.","Buzzard,Pamela;Teetor,Travis","Code4Lib","http://journal.code4lib.org/articles/5876","Arizona;best practices;equipment;iPads"
"1669f5c1822e4bd0af126a5861de28b3",2016,"How to Party Like it’s 1999: Emulation for Everyone","Emulated access of complex media has long been discussed, but there are very few instances in which complex, interactive, born-digital emulations are available to researchers. New York Public Library has made 1980-90's era video games from 5.25"" floppy disks in the Timothy Leary Papers accessible via a DosBox emulator. These games appear in various stages of development and display the work of at least four of Leary's collaborators on the games. 56 disk images from the Leary Papers are currently emulated in the reading room. New York University has made late 1990s-mid 2000's era Photoshop files from the Jeremy Blake Papers accessible to researchers. The Blake Papers include over 300 pieces of media. Cornell University Library was awarded a grant from the NEH to analyze approximately 100 born-digital artworks created for CD-ROM from the Rose Goldsen Archive of New Media Art to develop preservation workflows, access strategies, and metadata frameworks. Rhizome has undertaken a number of emulation projects as a major part of its preservation strategy for born-digital artworks. In cooperation with the University of Freiburg in Germany, Rhizome recently restored several digital artworks for public access using a cloud-based emulation framework. This framework (bwFLA) has been designed to facilitate the reenactments of software on a large scale, for internal use or public access. This paper will guide readers through how to implement emulation. Each of the institutions weigh in on oddities and idiosyncrasies they encountered throughout the process — from accession to access.","Dietrich,Dianne;Kim,Julia;McKeehan,Morgan;Rhonemus,Alison","Code4Lib","http://journal.code4lib.org/articles/11386","DosBox;emulation;preservation workflows;Rhizome;bwFLA"
