type,year,title,author,partof,resources,File,tags,abstract,alias,,,,,,,,,
,2009,The Library of Congress Subject Headings as Linked Data,Ed Summers,"https://www.swib09.de/vortraege/20091124_summers.pdf,https://www.swib09.de/videos/swib_summers.wmv",SWIB/SWIB2009/The Library of Congress Subject Headings as Linked Data.md,"#controlled/vocabularies,#subject-headings,#usa,#swib/2009,#OAI-ORE,#newspapers,#linked/data","In this presentation Ed Summers will discuss the implementation details behind two linked data web applications at the Library of Congress. The id.loc.gov service ( http://id.loc.gov ) is an exploratory service to make controlled vocabularies like the Library of Congress Subject Headings available using the FOCUS/SEMANTIC.WEB.GRAFURI/SCHEME-METADATE/Simple Knowledge Organisation System - SKOS/SKOS vocabulary. And Chronicling America ( http://chroniclingamerica.loc.gov ) which is an online archive of 1.5 million historic American newspaper pages, which makes repository objects available as Linked Data using the Open Archives Initiative Object Reuse and Exchange (OAI-ORE) vocabulary . The presentation will include tips on how to leverage existing web technologies to make linked data available, and potential areas for future development. #controlled/vocabularies #subject-headings #usa #swib/2009 #OAI-ORE #newspapers #linked/data",SWIB,,,,,,,,,,
,2009,The Swedish National Bibliography as Linked Data,Anders Söderbäck,"https://www.swib09.de/vortraege/20091124_soederbaeck.pdf,https://www.swib09.de/videos/swib_soederbaeck.wmv",SWIB/SWIB2009/The Swedish National Bibliography as Linked Data.md,"#bibliography,#sweden,#linked-open-data,#bibliographic,#repository,#union-catalog,#catalog,#sweden,#libris,#swib/2009","LIBRIS, the Swedish union catalog used for cataloging by approximately 170 library institutions and home of the Swedish National Bibliography, has since the beginning of 2008 been available as Linked Open Data. The service is a work in progress, and in this presentation Anders will describe the strategic thinking behind the LIBRIS Linked Data project, as well as the thoughts and ideas that have emerged as a consequence of it. Such ideas will include the implications of viewing bibliographic information as open networks of data, rather than as closed (or semi-closed) repositories of records. The presentation will also include a discussion of how and why libraries should use linked data as a way of connecting to the rest of the world wide web. #bibliography #sweden #linked-open-data #bibliographic #repository #union-catalog #sweden #libris #swib/2009",SWIB,,,,,,,,,,
,2009,"The national bibliography as linked data - motivation, business model, planning",Jürgen Kett,"https: //www.swib09.de/vortraege/20091124_kett.pdf,https: //www.swib09.de/videos/swib_kett.wmv","SWIB/SWIB2009/The national bibliography as linked data - motivation, business model, planning.md","#germany,#knowledge/base,#swib/2009,#bibliographic/data,#authority/files,#authority/data,#swib/2009","The German National Library is currently working on setting up a service that aims to publish its knowledge base as linked data. This service would enable direct use of all national bibliographic data, including all authority files, by the Semantic Web Community. In this short lecture, the motivation for this step will be explained and the planned design of the service will be discussed. But it is also about the urgently needed entry into the discussion about the consequences that this new way of data exchange could have for libraries: new cooperation models, extended requirements for cooperative data maintenance and a new regulation of data usage rights. #germany #knowledge/base #swib/2009 #bibliographic/data #authority/files #authority/data #swib/2009",SWIB,,,,,,,,,,
,2009,The national bibliography as linked data – technical aspects of the DNB's linked data service,"Lars G. Svensson,Jürgen Kett","https: //www.swib09.de/vortraege/20091125kett_svensson_2.pdf,https: //www.swib09.de/videos/swib_svensson.wmv",SWIB/SWIB2009/The national bibliography as linked data – technical aspects of the DNB's linked data service.md,"#bibliography,#linked/data,#linked-data,#dnb,#rdf,#prototype,#librarianship,#architecture,#workshop","The aim of the first prototype is to gather practical experience with the operation of such a service together with the network partners. The first prototype is currently in the design phase and there is no shortage of unanswered questions: Even if there are already models for linked data in the librarianship environment, the implementation of such a service for the German-speaking area still involves a good deal of research and development . We would like to take the opportunity and in this lecture present the current considerations on the architecture, persistent identification and representation of data in RDF and discuss them with the participants of the workshop. #bibliography #linked/data #linked-data #dnb #rdf",SWIB,,,,,,,,,,
,2009,Why should cultural institutions deal with the Semantic Web?,Stefan Gradmann,"https://www.swib09.de/vortraege/20091124_gradmann.pdf,https://www.swib09.de/videos/swib_gradmann_1.wmv",SWIB/SWIB2009/Why should cultural institutions deal with the Semantic Web?.md,"#knowledge/architecture,#swib/2009,#lecture","Why is a lecture with the title question ""Why should cultural institutions deal with the Semantic Web?"" necessary at all? The reasons are perhaps less obvious than the conference participants might realize. There are bad reasons for dealing with the 'Semantic Web' ... ""... because nowadays you have to write that in funding applications"" ""... because Web 2.0 will be followed by Web 3.0"" and good (or at least better) reasons ...""... with that them also in the future as parts of 'knowledge architectures'. #knowledge/architecture #swib/2009",SWIB,,,,,,,,,,
,2010,An Approach to Open Data from a Legal Perspective,Stefanie Grunow,"https://swib.org/swib10/vortraege/swib10_grunow.pptx,http://dx.doi.org/10.4016/27092.01",SWIB/SWIB2010/An Approach to Open Data from a Legal Perspective.md,"#open/data,#open-data,#law,#legal","The area of open data was only marginally noticed by the legislature in the last few changes to copyright law, data protection law and related areas of law. A clear strategy for dealing with the topic of open data, also from a legal point of view, does not yet exist. The lecture should first give an overview of the copyright classification of Open Data in the work types of copyright. In particular, the protection of database manufacturers is considered and a distinction is made from the classic types of copyright work. In order to find alternatives for dealing with free data in practice, the possibilities and limits of various licenses and waivers are explained. #open/data #open-data #law #legal",SWIB,,,,,,,,,,
,2010,Collaboration through the Semantic Web: Strategy and Activities of the German National Library,Reinhard Altenhöner,"[object Object],http://dx.doi.org/10.4016/27094.01",SWIB/SWIB2010/Collaboration through the Semantic Web - Strategy and Activities of the German National Library.md,"#dnb,#knowledge/base,#bibliographic/data,#authority/data,#linked/data,#linked-data,#bibliographic/data,#contentus,#theseus,#web-of-data,#web/of/data,#strategies,#swib/2010","In 2010, the German National Library (DNB - OAI interface) began to publish its knowledge base consisting of bibliographic data and authority data as linked data. Above all, authority data already form an important basis for indexing work in memorial institutions such as museums, archives and libraries. The aim of the DNB is now to enable direct use of the entire national bibliographic data and the authority data by the Semantic Web community by publishing the data as a triple and thus addressing new user groups. This also opens up new ways of cooperative data use: By linking to external data sets from other domains, the bibliographic data gains context and thus relevance on the World Wide Web, while external data sets offer the potential. However, these visible steps are only one link in a chain of other activities, the breeding ground for which are technologies and tools from the Semantic Web environment. This applies in particular to the CONTENTUS use case as part of the THESEUS funding initiative, but also to a number of other projects and plans that serve the purpose of semantically enriching and linking data as well as their adequate (stable) provision and use in new search environments. A new, cooperative dimension of information aggregation, integration and provision comes into view. The long-term goal is to establish libraries and other cultural institutions as a reliable backbone of the web of data. The article presents strategic considerations, concrete plans and activities of the DNB. #dnb #knowledge/base #bibliographic/data #authority/data #linked/data #linked-data #bibliographic/data #theseus #web-of-data #web/of/data #strategies #swib/2010",SWIB,,,,,,,,,,
,2010,Exposing the University of Economics' academic bibliography database as linked data,Jitka Hladká,"https://swib.org/swib10/vortraege/swib10_hladka.pptx,http://dx.doi.org/10.4016/27059.01",SWIB/SWIB2010/Exposing the University of Economics' academic bibliography database as linked data.md,"#zotero,#prague,#rdf,#Czech,#bibliometrics,#MARC,#vocabularies,#ontologies,#sfx,#bibliographic/data,#swib/2010","Academic bibliography of the University of Economics in Prague consists of bibliographic records of publications involving journal articles, conference papers, lecture notes, monographs and monograph chapters created by the academic staff of the university. We would like to discuss the experiences gained in the process of this dataset's transformation from its current data format to RDF-based data. During the course of conversion we will specify the entity types in our data and choose a way to model them. For data description we are going to use the most popular and widely implemented vocabularies and domain ontologies. Next, we will discuss the issues associated with interlinking the data with relevant and well-established datasets constituting a part of the web of data (eg, DBLP Computer Science Bibliography). We would like to examine further possibilities of data re-use by making the data suitable for other applications such as citation managers (eg, Zotero) to generate citations automatically. We are also interested in providing users with the information about availability of a resource as full text or as library holding, so we discuss cooperation with link resolvers (SFX, in our case) as well as other possible ways of linking. In this way, aligned with the concept of the semantic web, we maintain that the potential of the data would be maximized, as the information in bibliographic records would become easy to share, more visible due to incoming links, and more ready to be processed by web applications. We argue that academic bibliography data should be openly available, so it increases transparency of publishing activity of the university' s academic staff. Beyond being reusable, the data can be easily linked to so that they must not be duplicated at multiple locations. Likewise, these features together can provide a few benefits for bibliometric evaluation of science. The adoption of linked data publishing model for academic bibliography datasets involves moving to a more flexible data format for bibliographic data. While linked data is seen as a pragmatic implementation of the semantic web, we argue that it is not possible to implement the library data vision with the MARC, current standard for bibliographic data. Obviously, there is a need for more web-compatible and web-friendly data model. With this in mind, we suggest linked data as a part of the pragmatic implementation of the vision for bibliographic data on the Web. #zotero #prague #rdf #Czech #bibliometrics #MARC #vocabularies #ontologies #sfx",SWIB,,,,,,,,,,
,2010,From open data to an ecosystem of networked knowledge,Sören Auer,"https://swib.org/swib10/vortraege/swib10_auer.pdf,http://dx.doi.org/10.4016/27091.01",SWIB/SWIB2010/From open data to an ecosystem of networked knowledge.md,"#bibliographic,#libraries,#swib/2010","The publication and linking of data on the web has found enormous popularity in recent years as part of the Linked Data Initiative. However, in order to develop the data web that is developing in this way into a networked knowledge ecosystem that can be used by everyone, there are still a few challenges to be overcome: In addition to improving the quality and coherence of the information in the data web, the creation of direct added value for end users is particularly necessary. Libraries, with their gigantic stocks of knowledge, can make an important contribution to this if, for example, the high-quality bibliographic information is linked to background knowledge from the data web. #bibliographic #libraries",SWIB,,,,,,,,,,
,2010,Linked Open Projects: The Linked Data Service of the UB Mannheim,"Kai Eckert,Magnus Pfeffer","https://swib.org/swib10/vortraege/swib10_eckert_pfeffer.pdf,http://dx.doi.org/10.4016/27051.01",SWIB/SWIB2010/Linked Open Projects - The Linked Data Service of the UB Mannheim.md,"#germany,#mannheim,#linked/data,#linked-data,#automatic/classification,#classification,#indexing,#automatic/indexing,#swib/2010","The Mannheim University Library presented its Linked Data service this year, making it the first library in Germany to make the title data in its catalog accessible as a prototype Linked Data. The service should primarily be used to make results from research projects at the UB Mannheim available for easy subsequent use. Linked Data offers the ideal infrastructure for this. As part of this presentation, the technical background of the service will be briefly presented and it will be demonstrated how the results of an automatic classification and an automatic content indexing can be published as linked data. #germany #mannheim #linked/data #linked-data #automatic/classification #classification #indexing #automatic/indexing",SWIB,,,,,,,,,,
,2010,Linked RDA data in practice,"Sarah Hartmann,Alexander Haffner","https://swib.org/swib10/vortraege/swib10_hartmann_haffner.pptx,http://dx.doi.org/10.4016/27060.01",SWIB/SWIB2010/Linked RDA data in practice.md,"#rda,#bibliographic/data,#authority/data,#swib/2010,#practice","The new “Resource Description and Access” (RDA) indexing standard allows bibliographic data and authority data to be represented in a Semantic Web-compliant manner. The presentation aims to show the effects RDA has on cataloging in libraries and access to the resources in the Semantic Web. Based on initial experiences from practical implementation, it is explained how bibliographic data can be made more accessible and, above all, reused through RDA and linked data technologies. #rda #bibliographic/data",SWIB,,,,,,,,,,
,2010,Linked data at the National Széchényi Library - road to the publication,Ádám Horváth,"https://swib.org/swib10/vortraege/swib10_horvath.ppt,http://dx.doi.org/10.4016/27095.01",SWIB/SWIB2010/Linked data at the National Széchényi Library - road to the publication.md,"#linked-data,#linked/data,#infrastructure,#hungary,#Széchényi,#swib/2010","The presentation will focus on how we published our linked data and the tasks to be carried out to be able to publish the data. The presentation will begin with a short introduction of the library, the staff and the software and hardware infrastructure from the point of view of our topic. In the second part of the presentation I will explain what we have published and how it was published. The third part will be about the processes of the actual publication, and the tools used for the publication. Finally I would like to speak about some future plans. #linked-data #linked/data #infrastructure #hungary #Széchényi #swib/2010",SWIB,,,,,,,,,,
,2010,Potential of semantic technologies for the library of the future,Klaus Tochtermann,"https://swib.org/swib10/vortraege/swib10_tochtermann.ppt,http://dx.doi.org/10.4016/27097.01",SWIB/SWIB2010/Potential of semantic technologies for the library of the future.md,"#databases,#semantic/technologies,#information/quality,#swib/2010,#lecture,#library/services,#information/quality,#service/quality,#information/pull","Based on the current situation, in which libraries examine semantic technologies primarily in connection with their databases, the lecture shows the form in which semantic technologies - based on this - can shape the library of the future. This concerns on the one hand the support of the research and publication process of researchers and on the other hand the provision of innovative library services. In this context, semantics-based workplaces and the Internet of Services as a partial aspect of the Future Internet are discussed. The lecture will make the following core statements, among others:",SWIB,,,,,,,,,,
,2010,Semantic Web - a topic for library networks,Silke Schomburg,"https://swib.org/swib10/vortraege/swib10_schomburg.PPS,http://dx.doi.org/10.4016/27098.01",SWIB/SWIB2010/Semantic Web - a topic for library networks.md,"#semantic,#semantic/web,#libraries,#swib/2010,#hype,#why,#opportunities,#challenges,#lecture","Is the Semantic Web just developing into another hype or does it have an important strategic meaning for libraries and their associations? How can the Semantic Web change the library landscape and the supply of information? Why should library institutions deal with the idea of the Semantic Web and use the technologies? What opportunities does this technology bring to libraries? What risks and challenges do you have to face? The lecture provides answers to these questions and presents possible scenarios for concrete applications and perspective goals, especially from the point of view of a library network. #semantic #semantic/web #libraries #swib/2010",SWIB,,,,,,,,,,
,2010,Semantic Web activity in hbz,NN,SWIB/SWIB2010/Semantic Web activity in hbz.md,"#hbz,#skos,#frbr,#mab2,#open/data,#hbz,#swib/2010","The hbz has been dealing with the technology of the Semantic Web since mid-2009. This presentation is intended to give a brief overview of the activities. The following is touched upon: identifiers for libraries and other library institutions, the publication of classifications as SKOS data and, last but not least, the conversion of bibliographic data into linked data and the questions that arose as a result: Which vocabularies should be used? What role does FRBR play? What challenges did the MAB2 source format pose? In addition, the network libraries and the hbz had to deal with the legal question of open data. #hbz #skos #frbr #mab2 #open/data #hbz",SWIB,,,,,,,,,,,
,2010,Semantic Web in librarianship training - Which skills must be taught?,"Günther Neher,Dierk Eichel","https://swib.org/swib10/vortraege/swib10_neher.pdf,http://dx.doi.org/10.4016/27048.01",SWIB/SWIB2010/Semantic Web in librarianship training - Which skills must be taught?.md,"#information/science,#information-science,#courses,#librarianship,#infrastructure,#swib/2010","Semantic web and in particular linked data infrastructures open up a multitude of new possibilities for the application of classic library, general information science competencies in the area of information organization and knowledge transfer. In the opinion of the authors, the combination of classic information science skills and resilient, application-oriented knowledge of Semantic Web concepts and infrastructures offers great application potential in many areas, including non-library areas. However, the teaching of this interface competence often proves to be a non-trivial tightrope walk. Based on the experiences of corresponding courses, the lecture attempts, from the lecturer's point of view (Günther Neher) and from the student's point of view (Dierk Eichel). #information/science #information-science #courses #librarianship #infrastructure",SWIB,,,,,,,,,,
,2010,Semantic web applications based on the BAM portal - A prototype,Volker Conradt,"https://swib.org/swib10/vortraege/swib10_conradt.pptx,http://dx.doi.org/10.4016/27053.01",SWIB/SWIB2010/Semantic web applications based on the BAM portal - A prototype.md,"#BAM,#BSZ,#lucene,#rdf,#xslt,#sparql,#portal,#lam,#swib/2010,#XSLT/transformations,#prototype","The BSZ runs BAM, the joint portal for libraries, archives and museums. The portal collects the metadata from these three cultural sectors, indexes them using the Lucene technical platform and makes them accessible to the general public as a central point of evidence of cultural assets. The holdings of the BAM portal currently include around 42.8 million data records, around 1.8 million of which are digital copies, which are brought in by several large libraries or library associations, 16 museums and museum networks and several archives. Based on this data, the BSZ is currently creating a prototype that converts this metadata into RDF triples using XSLT transformations. The triples are integrated and linked in a Semantic Web-compatible database. With a prototypical implementation of a web interface with a search form, SPARQL query logic and the first output of results can be tested. The lecture describes the procedure for creating this prototype and presents the first results, experiences and insights. #BAM #BSZ #lucene #rdf #xslt #sparql #portal #lam",SWIB,,,,,,,,,,
,2010,W3C Working Group for Libraries and other institutions in the cultural heritage sector,Antoine Isaac,"https://swib.org/swib10/vortraege/swib10_isaac.ppt,http://dx.doi.org/10.4016/27092.01",SWIB/SWIB2010/W3C Working Group for Libraries and other institutions in the cultural heritage sector.md,"#europeana,#linked-data,#linked/data,#w3c,#libraries,#report,#mid-term,#swib/2010","In the last couple of years, the linked data approach to data publishing, sharing and interlinking has gained momentum. A growing amount of data is being released openly on the web using RDF. Some libraries have already jumped in, and the community as a whole manifests great interest in the topic. Yet there remains some technical or organization issues to a wide linked data adoption in the library domain, which requires more outreach and technology mapping work. This is one of the main missions of the Library Linked Data incubator group, a one-year effort launched in May 2010 by the W3C ""to help increase global interoperability of library data on the Web, by bringing together people involved in Semantic Web activities— focusing on Linked Data—in the library community and beyond, building on existing initiatives, and identifying collaboration tracks for the future."" I will present the objectives of this group, as well as a mid-term report on the work being done. #europeana #linked-data #linked/data #w3c #libraries #report #mid-term #swib/2010",SWIB,,,,,,,,,,
,2010,Yes we can! Libraries and the Semantic Web,Karen Coyle,"https://swib.org/swib10/vortraege/swib10_coyle.ppt,http://dx.doi.org/10.4016/27061.01",SWIB/SWIB2010/Yes we can! Libraries and the Semantic Web.md,"#karen-coyle,#libraries,#FRBR,#rda,#controlled/vocabularies,#data/models,#swib/2010","From the book catalog to the card catalog to the online catalogue, libraries have adapted their practices to take advantage of new technologies, and have used these advancements to better serve library users. The next step in this evolution is already on the horizon: it is the web of data known commonly as the Semantic Web. Reimagining library catalogs as a web of data has great potential for library users and all information seekers. Like the web of documents that is the current World Wide Web, the Semantic Web makes connections between resources. The Semantic Web, however, makes those connections meaningful. The transformation to Semantic Web style of metadata will allow libraries to serve users directly on the web, and will make possible an enhanced discovery environment that links documents and data in a rich web of relationships. The transformation of current library data to ""linked data,"" with entities and relationships, has already begun. After a brief introduction to the concepts that underly the Semantic Web, Coyle will show how the library community is developing the structures necessary for the transformation. This development begins with a domain model (FRBR and other FR's), a standardized definition of data elements (DC, RDA, and others), the definition of relationships (FRBR and RDA), and the creation of machine-readable controlled vocabularies (Library of Congress and RDA). Experimentation with new data models, such as in the Open Library and Freebase, illustrate the value of this approach. After a brief introduction to the concepts that underly the Semantic Web, Coyle will show how the library community is developing the structures necessary for the transformation. This development begins with a domain model (FRBR and other FR's), a standardized definition of data elements (DC, RDA, and others), the definition of relationships (FRBR and RDA), and the creation of machine-readable controlled vocabularies (Library of Congress and RDA). Experimentation with new data models, such as in the Open Library and Freebase, illustrate the value of this approach. After a brief introduction to the concepts that underly the Semantic Web, Coyle will show how the library community is developing the structures necessary for the transformation. This development begins with a domain model (FRBR and other FR's), a standardized definition of data elements (DC, RDA, and others), the definition of relationships (FRBR and RDA), and the creation of machine-readable controlled vocabularies (Library of Congress and RDA). Experimentation with new data models, such as in the Open Library and Freebase, illustrate the value of this approach. the definition of relationships (FRBR and RDA), and the creation of machine-readable controlled vocabularies (Library of Congress and RDA). Experimentation with new data models, such as in the Open Library and Freebase, illustrate the value of this approach. the definition of relationships (FRBR and RDA), and the creation of machine-readable controlled vocabularies (Library of Congress and RDA). Experimentation with new data models, such as in the Open Library and Freebase, illustrate the value of this approach. #karen-coyle #libraries #FRBR #rda #controlled/vocabularies",SWIB,,,,,,,,,,
